key,name,city,state,zip,latitude,longitude
8514,B.K. Leach,Foley,MO,63347,39.070,-90.759
8241,Ten Mile Pond,East Prairie,MO,63845,36.744,-89.361
5004,Otter Slough,Liberty Township,MO,63841,36.784,-89.974
5701,Schell-Osage,Schell City,MO,64783,38.006,-94.100
8238,Four Rivers,Rich Hill,MO,64779,38.086,-94.382
5604,Montrose,Montrose,MO,64770,38.278,-93.990
5001,Duck Creek,Puxico,MO,63960,36.957,-90.131
9736,Columbia Bottoms,St. Louis,MO,63138,38.788,-90.210
7902,Marais Temps Clair,St Charles,MO,63301,38.809,-90.507
7011,Ted Shanks,Ashburn,MO,63433,39.550,-91.182
8931,Eagle Bluffs,Columbia,MO,65203,38.925,-92.369
8010,Grand Pass,Miami,MO,65344,39.311,-93.226
4601,Fountain Grove,Meadville,MO,64659,39.786,-93.300
8142,Bob Brown,Forest City,MO,64451,39.983,-95.188
9134,Nodaway Valley,Maitland,MO,64466,40.176,-95.088
